Chinese,Pinyin,English
一,yī,One
丨,gǔn,Line
丶,zhǔ,Dot
丿 乀 乁,piě,Slash
乙 乚,yǐ,Second
亅,jué,Hook
二,èr,Two
亠,tóu,Lid
人 亻,rén,Person
儿,rén,Legs
入,rù,Enter
八 丷,bā,Eight
冂,jiōng,Down box
冖,mì,Cover
冫,bīng,Ice
几,jǐ,Table
凵,qiǎn,Open box
刂 刁 刀,dāo,Knife
力,lì,Power
勹,bāo,Wrap
匕,bǐ,Ladle/Dagger
匚,fāng,Right open box
匸,xì,Hiding enclosure
十,shí,Ten
卜,bǔ,Divination
卩,jié,Seal/Joint
厂,hǎn,Cliff/House
厶,mǒu/sī,Private
又,yòu,Again
口,kǒu,Mouth
囗,wéi,Enclosure
土,tǔ,Earth
士,shì,Scholar
夂,zhǐ,Go
夊,suī,Go slowly
夕,xī,Night
大,dà,Big
女,nǚ,Woman
子,zǐ,Child
宀,mián,Roof
寸,cùn,Inch
小 ⺌ ⺍,xiǎo,Small
尢,wāng,Lame
尸,shī,Corpse
屮,chè,Sprout
山,shān,Mountain
川 巛,chuān,River
工,gōng,Work
己,jǐ,Oneself
巾,jīn,Towel
干,gān/gàn,Dry/Do
幺,yāo,Youngest
广,guǎng,Shelter
廴,yǐn,Stride
廾,gǒng,Hands joined
弋,yì,Shoot with a bow
弓,gōng,Bow
彐 彑,jì,Snout
彡,shān,Hair
彳,chì,Step
心 忄,xīn,Heart
戈,gē,Spear
戶 户,hù,Door
扌,shǒu,Hand
支,zhī,Branch
攴 攵,pū,Rap/Beat
文,wén,Script
斗,dǒu,Vessel
斤,jīn,Axe
方,fāng,Square
无/旡,wú/jì,Not/Choke on something eaten
日,rì,Sun
曰,yuē,Say
月,yuè,Moon
木 朩,mù,Tree
欠,qiàn,Lack
止,zhǐ,Stop
歹,dǎi,Death
殳,shū,Weapon
母,mǔ,Mother
比,bǐ,Compare
毛,máo,Fur
氏,shì,Clan
气,qì,Steam
水 氵 氺,shuǐ,Water
火 灬,huǒ,Fire
爪 爫,zhǎo/zhuǎ,Claw
父,fù,Father
爻,yáo,Lines on a trigram
爿,pán,Half of a tree trunk
片,qiáng,Slice
牙,yá,Tooth
牛 牜 ⺧,niú,Cow
犬 犭,quǎn,Dog
玄,xuán,Profound
王 玉,wáng/yù,King/Jade
瓜,guā,Melon
瓦,wǎ,Tile
甘,gān,Sweet
生,shēng,Life
用,yòng,Use
田,tián,Field
疋 𤴔,pǐ,Foot
疒,nè,Sick
癶,bō,Unbalanced footsteps
白,bái,White
皮,pí,Skin
皿,mǐn,Dish
目,mù,Eye
矛,máo,Spear
矢,shǐ,Arrow
石,shí,Stone
示 礻,shì,Spirit
禸,róu,Rub
禾,hé,Grain
穴,xué,Cave
立,lì,Stand
竹 ⺮ ケ,zhú,Bamboo
米,mǐ,Rice
糸 纟,sī,Silk
缶,fǒu,Jar
网 罒 罓,wǎng,Net
羊 ⺶ ⺷,yáng,Sheep
羽,yǔ,Feather
老 耂,lǎo,Old
而,ér,And
耒,lěi,Plaw
耳,ěr,Ear
聿,yù,Brush
肉 月,ròu,Meat
臣,chén,Minister
自,zì,Oneself
至,zhì,Arrive
臼,jiù,Mortar
舌,shé,Tongue
舛,chuǎn,Contrary
舟,zhōu,Boat
艮,gèn,Mountain
色,sè,Color
艹,cǎo,Grass
虍,hū,Stripes on a tiger
虫,chóng,Insect
血,xuè,Blood
行,xíng,Walk
衣 衤,yī,Clothes
覀,yà,Cover
见,jiàn,See
角,jiǎo,Horn
讠,yán,Speech
谷,gǔ,Valley
豆,dòu,Bean
豕,shǐ,Pig
豸,zhì,Legless insect
贝,bèi,Shell
赤,chì,Red
走,zǒu,Walk
足,zú,Foot
身,shēn,Body
车,chē,Cart
辛,xīn,Bitter
辰,chén,Day time
辶,chuò,Walk
邑 阝,yì,City
酉,yǒu,Wine vessel
釆,biàn,Distinguish
里,lǐ,Village/Unit of distance
金 钅,jīn,Metal
长,cháng,Long
门,mén,Gate
阜⻏,fù,Mound
隶,lì,Slave
隹,zhuī,Short-tailed bird
雨,yǔ,Rain
青,qīng,Blue/Green
非,fēi,Wrong
面,miàn,Face
革,gé,Leather
韦,wěi,Soft leather
韭,jiǔ,Leek
音,yīn,Sound
页,yè,Page
风,fēng,Wind
飞,fēi,Fly
食 饣,shí,Eat
首,shǒu,Head
香,xiāng,Fragrant
马,mǎ,Horse
骨,gǔ,Bone
高,gāo,High
髟,biāo,Long hair
门/鬥,mén/dòu,Fight
鬯,chàng,Sacrificial wine
鬲,lì,Cauldron
鬼,guǐ,Ghost
鱼,yú,Fish
鸟,niǎo,Bird
卤,lǔ,Brine
鹿,lù,Deer
麦,mài,Wheat
麻,má,Hemp
黄,huáng,Yellow
黍,shǔ,Millet
黑,hēi,Black
黹,zhǐ,Embroidery
黾,měng,Frog
鼎,dǐng,Tripod
鼓,gǔ,Drum
鼠,shǔ,Rat
鼻,bí,Nose
齐,qí,Neat
齿,chǐ,Tooth
龙,lóng,Dragon
龟,guī,Turtle
龠,yuè,Flute
