Term,Definition
HTML,HyperText Markup Language - the standard markup language for creating web pages
CSS,Cascading Style Sheets - used for describing the presentation of a document written in HTML
JavaScript,Programming language that enables interactive web pages
API,Application Programming Interface - a set of protocols and tools for building software
Database,Organized collection of structured information, typically stored electronically
Algorithm,A step-by-step procedure for solving a problem or accomplishing a task
Variable,A named storage location in programming that holds a value
Function,A block of organized, reusable code that performs a specific task
Loop,A programming construct that repeats a block of code until a condition is met
Array,An ordered collection of elements stored at contiguous memory locations
